pair	ocular_trait	systemic_trait	SUPERGNOVA_region	chr	region_start	region_end	SUPERGNOVA_rho	SUPERGNOVA_q	SUPERGNOVA_direction	hidden_mixed_pair	N_independent_PLACO_loci	N_positive_effect_loci	N_negative_effect_loci	N_direction_concordant	N_direction_discordant	concordant_fraction	directional_class	fine_mapping_readiness	lead_SNPs	PLACO_locus_ids
POAG-CAD	POAG	CAD	16:74730819-75517115	16	74730819	75517115	-0.0002679344383509	0.0205537196823386	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs999675	POAG-CAD|chr16|rs999675
POAG-CAD	POAG	CAD	17:1481897-2613925	17	1481897	2613925	-0.0006007450401361	2.4452296337214182e-09	NEGATIVE	False	2	0	2	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs7217226;rs9894634	POAG-CAD|chr17|rs7217226;POAG-CAD|chr17|rs9894634
POAG-STROKE	POAG	STROKE	4:142808503-145021868	4	142808503	145021868	-0.0003809013220984	0.0017427772635334	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs7670439	POAG-STROKE|chr4|rs7670439
POAG-T2D	POAG	T2D	5:111963025-112396750	5	111963025	112396750	-0.0001424130227632	0.041177653681305	NEGATIVE	False	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
POAG-T2D	POAG	T2D	9:125545194-126926376	9	125545194	126926376	-0.0003856203292119	0.0266809122382042	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10818834	POAG-T2D|chr9|rs10818834
POAG-T2D	POAG	T2D	16:60291-596605	16	60291	596605	-0.000228479108544	0.0205537196823386	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10903013	POAG-T2D|chr16|rs10903013
POAG-CKD	POAG	CKD	4:142808503-145021868	4	142808503	145021868	-0.0003252435019551	0.0472529339623195	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11100780	POAG-CKD|chr4|rs11100780
POAG-CKD	POAG	CKD	7:77102731-77953248	7	77102731	77953248	-0.0002961934225466	0.0381681840396337	NEGATIVE	True	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
CAT-STROKE	CAT	STROKE	10:12799286-13718384	10	12799286	13718384	-0.0002443768914323	0.0205537196823386	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs4750356	CAT-STROKE|chr10|rs4750356
CAT-T2D	CAT	T2D	2:43309247-44048346	2	43309247	44048346	-0.0001797901249829	0.0341899133486484	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs72790940	CAT-T2D|chr2|rs72790940
CAT-T2D	CAT	T2D	4:94230511-95596188	4	94230511	95596188	-0.0001375879505063	0.0472529339623195	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1509946	CAT-T2D|chr4|rs1509946
CAT-T2D	CAT	T2D	22:44317416-44818986	22	44317416	44818986	-0.0002150881090289	0.0024280460328743	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs3747207	CAT-T2D|chr22|rs3747207
CAT-CKD	CAT	CKD	17:17299591-18446092	17	17299591	18446092	-0.0001709140077804	0.0023788345085109	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs12936927	CAT-CKD|chr17|rs12936927
CAT-AD	CAT	AD	1:206706419-208158787	1	206706419	208158787	-0.0002848402193571	0.0002752403888758	NEGATIVE	True	2	0	2	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs34626131;rs200114063	CAT-AD|chr1|rs34626131;CAT-AD|chr1|rs200114063
CAT-AD	CAT	AD	7:98152191-100555361	7	98152191	100555361	-0.0001423302020509	0.0392017080189121	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1617502	CAT-AD|chr7|rs1617502
CAT-AD	CAT	AD	11:59620206-61870732	11	59620206	61870732	-0.0002600201408	0.0062177629514779	NEGATIVE	True	3	0	3	3	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs558678;rs76834192;rs4939330	CAT-AD|chr11|rs558678;CAT-AD|chr11|rs76834192;CAT-AD|chr11|rs4939330
CAT-PD	CAT	PD	17:14860784-16319512	17	14860784	16319512	-0.0004103230473073	3.275789704560942e-06	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs4566208	CAT-PD|chr17|rs4566208
