pair	ocular_trait	systemic_trait	SUPERGNOVA_region	chr	region_start	region_end	SUPERGNOVA_rho	SUPERGNOVA_q	SUPERGNOVA_direction	hidden_mixed_pair	N_independent_PLACO_loci	N_positive_effect_loci	N_negative_effect_loci	N_direction_concordant	N_direction_discordant	concordant_fraction	directional_class	fine_mapping_readiness	lead_SNPs	PLACO_locus_ids
AMD-T2D	AMD	T2D	17:3426133-4321755	17	3426133	4321755	-0.0006867881247124	0.0233068449962225	NEGATIVE	True	2	0	2	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs2278524;rs1076902	AMD-T2D|chr17|rs2278524;AMD-T2D|chr17|rs1076902
AMD-CKD	AMD	CKD	7:104158491-105425027	7	104158491	105425027	-0.0004883119291701	0.0109718453325452	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs6966728	AMD-CKD|chr7|rs6966728
AMD-CKD	AMD	CKD	12:110112932-113027651	12	110112932	113027651	0.0004688619412696	0.0196335024289898	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs653178	AMD-CKD|chr12|rs653178
AMD-PD	AMD	PD	2:68871710-70753882	2	68871710	70753882	-0.0005998845136309	0.0237098987773341	NEGATIVE	False	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
AMD-PD	AMD	PD	7:104158491-105425027	7	104158491	105425027	-0.0004907398412209	0.0204432661966933	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs2097942	AMD-PD|chr7|rs2097942
POAG-CAD	POAG	CAD	7:1493090-2479029	7	1493090	2479029	-0.0002053348962016	0.0237098987773341	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10278591	POAG-CAD|chr7|rs10278591
POAG-CAD	POAG	CAD	10:99554895-100240681	10	99554895	100240681	-0.0001791143295676	0.0261742807478925	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10883050	POAG-CAD|chr10|rs10883050
POAG-CAD	POAG	CAD	16:74730819-75517115	16	74730819	75517115	-0.0002679344383509	0.0205537196823386	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs999675	POAG-CAD|chr16|rs999675
POAG-CAD	POAG	CAD	17:1481897-2613925	17	1481897	2613925	-0.0006007450401361	2.4452296337214182e-09	NEGATIVE	False	2	0	2	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs7217226;rs9894634	POAG-CAD|chr17|rs7217226;POAG-CAD|chr17|rs9894634
POAG-STROKE	POAG	STROKE	4:142808503-145021868	4	142808503	145021868	-0.0003809013220984	0.0017427772635334	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs7670439	POAG-STROKE|chr4|rs7670439
POAG-T2D	POAG	T2D	5:111963025-112396750	5	111963025	112396750	-0.0001424130227632	0.041177653681305	NEGATIVE	False	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
POAG-T2D	POAG	T2D	9:125545194-126926376	9	125545194	126926376	-0.0003856203292119	0.0266809122382042	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10818834	POAG-T2D|chr9|rs10818834
POAG-T2D	POAG	T2D	16:60291-596605	16	60291	596605	-0.000228479108544	0.0205537196823386	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10903013	POAG-T2D|chr16|rs10903013
POAG-CKD	POAG	CKD	1:154547292-156334116	1	154547292	156334116	0.0003302425462261	0.0472529339623195	POSITIVE	True	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
POAG-CKD	POAG	CKD	4:142808503-145021868	4	142808503	145021868	-0.0003252435019551	0.0472529339623195	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11100780	POAG-CKD|chr4|rs11100780
POAG-CKD	POAG	CKD	7:77102731-77953248	7	77102731	77953248	-0.0002961934225466	0.0381681840396337	NEGATIVE	True	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
CAT-CAD	CAT	CAD	1:175385076-176416712	1	175385076	176416712	0.000104141607862	0.0110084032525461	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs2938154	CAT-CAD|chr1|rs2938154
CAT-CAD	CAT	CAD	7:98152191-100555361	7	98152191	100555361	0.0001082123379972	0.0314731563032679	POSITIVE	False	0	0	0	0	0		NO_INDEPENDENT_PLACO_LOCUS	NO_INDEPENDENT_PLACO_LOCUS		
CAT-CAD	CAT	CAD	11:110702636-111981853	11	110702636	111981853	0.0001328932334462	0.0004989598572819	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10502145	CAT-CAD|chr11|rs10502145
CAT-CAD	CAT	CAD	16:74730819-75517115	16	74730819	75517115	0.0001129640486781	0.0237098987773341	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs3851734	CAT-CAD|chr16|rs3851734
CAT-STROKE	CAT	STROKE	10:12799286-13718384	10	12799286	13718384	-0.0002443768914323	0.0205537196823386	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs4750356	CAT-STROKE|chr10|rs4750356
CAT-STROKE	CAT	STROKE	17:17299591-18446092	17	17299591	18446092	0.0001787233093715	0.0196335024289898	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs11870660	CAT-STROKE|chr17|rs11870660
CAT-T2D	CAT	T2D	2:43309247-44048346	2	43309247	44048346	-0.0001797901249829	0.0341899133486484	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs72790940	CAT-T2D|chr2|rs72790940
CAT-T2D	CAT	T2D	4:5971634-7135912	4	5971634	7135912	0.0003972937806551	2.0594244705074573e-05	POSITIVE	False	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs62283057;rs2269920	CAT-T2D|chr4|rs62283057;CAT-T2D|chr4|rs2269920
CAT-T2D	CAT	T2D	4:94230511-95596188	4	94230511	95596188	-0.0001375879505063	0.0472529339623195	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1509946	CAT-T2D|chr4|rs1509946
CAT-T2D	CAT	T2D	4:103388441-104802530	4	103388441	104802530	0.0001431518936158	0.0472529339623195	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs228631	CAT-T2D|chr4|rs228631
CAT-T2D	CAT	T2D	17:17299591-18446092	17	17299591	18446092	0.0002213939581042	0.0008228868786915	POSITIVE	False	2	2	0	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs8079321;rs75035298	CAT-T2D|chr17|rs8079321;CAT-T2D|chr17|rs75035298
CAT-T2D	CAT	T2D	17:46828412-48027295	17	46828412	48027295	0.0002228325466513	0.0314731563032679	POSITIVE	False	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1057902	CAT-T2D|chr17|rs1057902
CAT-T2D	CAT	T2D	22:44317416-44818986	22	44317416	44818986	-0.0002150881090289	0.0024280460328743	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs3747207	CAT-T2D|chr22|rs3747207
CAT-CKD	CAT	CKD	17:17299591-18446092	17	17299591	18446092	-0.0001709140077804	0.0023788345085109	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs12936927	CAT-CKD|chr17|rs12936927
CAT-AD	CAT	AD	1:206706419-208158787	1	206706419	208158787	-0.0002848402193571	0.0002752403888758	NEGATIVE	True	2	0	2	2	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs34626131;rs200114063	CAT-AD|chr1|rs34626131;CAT-AD|chr1|rs200114063
CAT-AD	CAT	AD	2:26894589-28597305	2	26894589	28597305	0.0001155461760498	0.0472529339623195	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs10209020	CAT-AD|chr2|rs10209020
CAT-AD	CAT	AD	2:202830132-204814896	2	202830132	204814896	0.0001276638548397	0.0472529339623195	POSITIVE	True	1	1	0	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs140750546	CAT-AD|chr2|rs140750546
CAT-AD	CAT	AD	7:98152191-100555361	7	98152191	100555361	-0.0001423302020509	0.0392017080189121	NEGATIVE	True	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs1617502	CAT-AD|chr7|rs1617502
CAT-AD	CAT	AD	11:59620206-61870732	11	59620206	61870732	-0.0002600201408	0.0062177629514779	NEGATIVE	True	3	0	3	3	0	1.0	UNIFORM_CONCORDANT	CONDITIONAL	rs558678;rs76834192;rs4939330	CAT-AD|chr11|rs558678;CAT-AD|chr11|rs76834192;CAT-AD|chr11|rs4939330
CAT-PD	CAT	PD	17:14860784-16319512	17	14860784	16319512	-0.0004103230473073	3.275789704560942e-06	NEGATIVE	False	1	0	1	1	0	1.0	SINGLE_LOCUS_CONCORDANT	CONDITIONAL	rs4566208	CAT-PD|chr17|rs4566208
