pair	chr	start	end	selection_source	h2_ocular_abs_diff	h2_systemic_abs_diff	rho_original	rho_flipped	rho_sign_reversal	abs_rho_abs_diff	P_original	P_flipped	P_abs_diff	status	reason
CAT-CAD	11	110702636	111981853	high_signal_atlas	0.0	0.0	0.0001328932334462	-0.0001328932334462	PASS	0.0	7.305771740181531e-08	7.305771740181531e-08	0.0	PASS	
CAT-CAD	1	175385076	176416712	high_signal_atlas	0.0	0.0	0.000104141607862	-0.000104141607862	PASS	0.0	4.835552212060869e-06	4.835552212060869e-06	0.0	PASS	
CAT-STROKE	1	226808697	228100891	random_per_pair	0.0	0.0	1.994009940748852e-05	-1.994009940748852e-05	PASS	0.0	0.5701573248626768	0.5701573248626768	0.0	PASS	
CAT-STROKE	14	72889376	74250730	random_per_pair	0.0	0.0	3.9886393835016246e-05	-3.9886393835016246e-05	PASS	0.0	0.3038366875251715	0.3038366875251715	0.0	PASS	
CAT-STROKE	17	17299591	18446092	high_signal_atlas	0.0	0.0	0.0001787233093715	-0.0001787233093715	PASS	0.0	9.665684731057544e-06	9.665684731057544e-06	0.0	PASS	
CAT-T2D	10	33656119	36017592	random_per_pair	0.0	0.0	1.6372127908278907e-05	-1.6372127908278907e-05	PASS	0.0	0.7251915761701282	0.7251915761701282	0.0	PASS	
CAT-T2D	10	19203300	20131614	random_per_pair	0.0	0.0	-1.3496441040930818e-06	1.3496441040930818e-06	PASS	0.0	0.9703847089631038	0.9703847089631038	0.0	PASS	
CAT-T2D	4	5971634	7135912	high_signal_atlas	0.0	0.0	0.0003972937806551	-0.0003972937806551	PASS	0.0	2.010273288601159e-09	2.010273288601159e-09	0.0	PASS	
CAT-T2D	17	17299591	18446092	high_signal_atlas	0.0	0.0	0.0002213939581042	-0.0002213939581042	PASS	0.0	1.4056830862513236e-07	1.4056830862513236e-07	0.0	PASS	
CAT-T2D	22	44317416	44818986	high_signal_atlas	0.0	0.0	-0.0002150881090289	0.0002150881090289	PASS	0.0	7.110291472129629e-07	7.110291472129629e-07	0.0	PASS	
CAT-CKD	16	7525825	8236887	random_per_pair	0.0	0.0	-5.655531431950642e-06	5.655531431950642e-06	PASS	0.0	0.9136489099836176	0.9136489099836176	0.0	PASS	
CAT-CKD	9	27336207	28252383	random_per_pair	0.0	0.0	2.339268102162466e-06	-2.339268102162466e-06	PASS	0.0	0.9633479101025176	0.9633479101025176	0.0	PASS	
CAT-CKD	17	17299591	18446092	high_signal_atlas	0.0	0.0	-0.0001709140077804	0.0001709140077804	PASS	0.0	6.385665379867472e-07	6.385665379867472e-07	0.0	PASS	
CAT-AD	22	49082979	49521080	random_per_pair	0.0	0.0	-1.0106287667661404e-05	1.0106287667661404e-05	PASS	0.0	0.8167670506892268	0.8167670506892268	0.0	PASS	
CAT-AD	4	66599449	68058793	random_per_pair	0.0	0.0	-6.253994579089404e-06	6.253994579089404e-06	PASS	0.0	0.8318357622498825	0.8318357622498825	0.0	PASS	
CAT-AD	1	206706419	208158787	high_signal_atlas	0.0	0.0	-0.0002848402193571	0.0002848402193571	PASS	0.0	3.3583921723340934e-08	3.3583921723340934e-08	0.0	PASS	
CAT-AD	11	59620206	61870732	high_signal_atlas	0.0	0.0	-0.0002600201408	0.0002600201408	PASS	0.0	2.4277467720154066e-06	2.4277467720154066e-06	0.0	PASS	
CAT-PD	5	86492986	88065637	random_per_pair	0.0	0.0	6.908607711054424e-06	-6.908607711054424e-06	PASS	0.0	0.8519168659077424	0.8519168659077424	0.0	PASS	
CAT-PD	14	38486187	39370633	random_per_pair	0.0	0.0	1.0750957108876835e-06	-1.0750957108876835e-06	PASS	0.0	0.978707980995724	0.978707980995724	0.0	PASS	
CAT-PD	17	14860784	16319512	high_signal_atlas	0.0	0.0	-0.0004103230473073	0.0004103230473073	PASS	0.0	1.5988040922255562e-10	1.5988040922255562e-10	0.0	PASS	
