priority_rank	pair	ocular_trait	systemic_trait	chr	start	end	region_id	rho	SE_rho	Z_rho	P	P_rho	q_atlas	q_pair	direction	tier	tier_rank
31	CAT-T2D	CAT	T2D	17	17299591	18446092	17:17299591-18446092	0.0002213939581042	4.205409596245898e-05	5.264504040268393	1.4056830862513236e-07	1.4056830862513236e-07	0.0008228868786915	0.0001648163418629	POSITIVE	TIER3_OTHER	4
32	POAG-STROKE	POAG	STROKE	4	142808503	145021868	4:142808503-145021868	-0.0003809013220984	7.501993550682425e-05	-5.07733470476992	3.827662494948683e-07	3.827662494948683e-07	0.0017427772635334	0.0008673483213553	NEGATIVE	TIER3_OTHER	5
33	CAT-CKD	CAT	CKD	17	17299591	18446092	17:17299591-18446092	-0.0001709140077804	3.432578445440515e-05	-4.979172668505934	6.385665379867472e-07	6.385665379867472e-07	0.0023788345085109	0.0014967999650409	NEGATIVE	TIER3_OTHER	6
34	CAT-T2D	CAT	T2D	22	44317416	44818986	22:44317416-44818986	-0.0002150881090289	4.337917224465674e-05	-4.958326724535266	7.110291472129629e-07	7.110291472129629e-07	0.0024280460328743	0.0005557877834047	NEGATIVE	TIER3_OTHER	7
35	AMD-PD	AMD	PD	7	104158491	105425027	7:104158491-105425027	-0.0004907398412209	0.0001116077338729	-4.397005692989024	1.097544673549841e-05	1.097544673549841e-05	0.0204432661966933	0.0189272657714245	NEGATIVE	TIER3_OTHER	8
36	POAG-CAD	POAG	CAD	16	74730819	75517115	16:74730819-75517115	-0.0002679344383509	6.131214089326865e-05	-4.370006240971371	1.2424298556592871e-05	1.2424298556592871e-05	0.0205537196823386	0.010845802310977	NEGATIVE	TIER3_OTHER	9
37	POAG-T2D	POAG	T2D	16	60291	596605	16:60291-596605	-0.000228479108544	5.230759984944927e-05	-4.367990678249512	1.2539484407693568e-05	1.2539484407693568e-05	0.0205537196823386	0.0235751493562618	NEGATIVE	TIER3_OTHER	10
38	AMD-PD	AMD	PD	2	68871710	70753882	2:68871710-70753882	-0.0005998845136309	0.0001393584376051	-4.304615665472289	1.672758795530234e-05	1.672758795530234e-05	0.0237098987773341	0.0189272657714245	NEGATIVE	TIER3_OTHER	11
39	POAG-CAD	POAG	CAD	7	1493090	2479029	7:1493090-2479029	-0.0002053348962016	4.770869057519428e-05	-4.303930661814519	1.6779419799470227e-05	1.6779419799470227e-05	0.0237098987773341	0.010845802310977	NEGATIVE	TIER3_OTHER	12
40	POAG-CAD	POAG	CAD	10	99554895	100240681	10:99554895-100240681	-0.0001791143295676	4.190361955036389e-05	-4.274435752556478	1.916219489571908e-05	1.916219489571908e-05	0.0261742807478925	0.010845802310977	NEGATIVE	TIER3_OTHER	13
41	POAG-T2D	POAG	T2D	9	125545194	126926376	9:125545194-126926376	-0.0003856203292119	9.06116864809502e-05	-4.255746076340507	2.083530654552527e-05	2.083530654552527e-05	0.0266809122382042	0.0235751493562618	NEGATIVE	TIER3_OTHER	14
42	CAT-T2D	CAT	T2D	17	46828412	48027295	17:46828412-48027295	0.0002228325466513	5.303188850114406e-05	4.2018595405383845	2.6473137923746302e-05	2.6473137923746302e-05	0.0314731563032679	0.0144784412694396	POSITIVE	TIER3_OTHER	15
43	CAT-T2D	CAT	T2D	2	43309247	44048346	2:43309247-44048346	-0.0001797901249829	4.314674646880475e-05	-4.166945127899479	3.087087690712068e-05	3.087087690712068e-05	0.0341899133486484	0.0144784412694396	NEGATIVE	TIER3_OTHER	16
44	POAG-T2D	POAG	T2D	5	111963025	112396750	5:111963025-112396750	-0.0001424130227632	3.4681114758879824e-05	-4.10635655033944	4.0194888653721513e-05	4.0194888653721513e-05	0.041177653681305	0.0303203443411239	NEGATIVE	TIER3_OTHER	17
45	CAT-T2D	CAT	T2D	4	103388441	104802530	4:103388441-104802530	0.0001431518936158	3.540749325365717e-05	4.04298300899949	5.2775446412774126e-05	5.2775446412774126e-05	0.0472529339623195	0.0176811396557021	POSITIVE	TIER3_OTHER	18
46	CAT-T2D	CAT	T2D	4	94230511	95596188	4:94230511-95596188	-0.0001375879505063	3.403144807850664e-05	-4.042964912597912	5.277952136030489e-05	5.277952136030489e-05	0.0472529339623195	0.0176811396557021	NEGATIVE	TIER3_OTHER	19
